artigoEmPeriodico	2010		Uso da tecnologia e acesso à informação pelos usuários do Programa GESAC e de ações de inclusão digital do governo brasileiro	Inclusão Social (Impresso)	MEDEIROS, Benedito ; MIRANDA, A. L. C.	Qualis nao identificado	Inclusão Social (Impresso)
artigoEmPeriodico	2010		As relações do conhecimento produzido na área de Arquivologia com a Ciência da Informação	Ciência da Informação (Impresso)	MEDEIROS, N.L. ; NODARE, T. ; ARAUJO, C. A. A.	C	Perspectivas em Ciência da Informação (Impresso)
artigoEmPeriodico	2010	http://dx.doi.org/10.1590/s0103-84782010005000029	Caracterização química e bacteriológica de polpa e surimi obtidos do espinhaço residual da filetagem de tilápia	Ciência Rural (UFSM. Impresso)	MELLO, S. C. R. P.; Freitas, M. Q. ; São Clemente, S.,C. ; FRANCO, R. M. ; NOGUEIRA, E. B. ; RIBAS, M.D	C	
artigoEmPeriodico	2010		Das cousas que convem a boa governação: uma análise sobre o regimento do governador da Capitania de Pernambuco	Cadernos de Estudos Sociais	MELO, J. H	Qualis nao identificado	Cadernos de Estudos Sociais
artigoEmPeriodico	2010		Os documentos interessantes e o Arquivo do Estado: a construção de uma identidade	HISTÓRICA (SÃO PAULO. ONLINE)	MENDES, A. O. T	Qualis nao identificado	HISTÓRICA (SÃO PAULO. ONLINE)
artigoEmPeriodico	2010		Avaliação do consumo de frutas, legumes e verduras por adolescentes de Formiga-MG e sua relaçãocom fatores socioeconômicos	Alimentos e Nutrição (UNESP. Marilia)	MENDES, Keila Lopes ; CATÃO, L. P.	Qualis nao identificado	Alimentos e Nutrição (UNESP. Marilia)
artigoEmPeriodico	2010		Problemas no preenchimento da Declaração de Óbito: estudo exploratório	Revista Brasileira de Estudos de População (Impresso)	Mendonça, Fabricio M. ; DRUMMOND, E. F. ; CARDOSO, A. M. P.	C	
artigoEmPeriodico	2010		Cecília Meireles: Uma educadora pioneira	Educação (São Paulo)	MIGNOT, A. C. V	Qualis nao identificado	Educação (São Paulo)
artigoEmPeriodico	2010		Viajar para legitimar: Armanda Álvaro Alberto na Comissão de Intercâmbio Brasil-Uruguai (1931)	Revista Brasileira de História da Educação	MIGNOT, A. C. V	Qualis nao identificado	Revista Brasileira de História da Educação
artigoEmPeriodico	2010		Sobre coisas de outros tempos: rastros biográficos nas crônicas de Cecília Meireles na	História da Educação (UFPel)	MIGNOT, A. C. V	Qualis nao identificado	História da Educação (UFPel)
artigoEmPeriodico	2010		Apontamentos sobre as práticas de leitura: do ?Livro de areia? à ?sopa de letras luminosas?	Em Questão (UFRGS. Impresso)	Mineiro, I.B. ; BEMFICA, Juliana Do Couto ; CARDOSO, A. M. P.	C	
artigoEmPeriodico	2010		Estranhos passados encontrados em um museu: a criança e seus olhares sobre o tempo desconhecido	Cadernos CEDES (Impresso)	MIRANDA, S. R	Qualis nao identificado	Cadernos CEDES (Impresso)
artigoEmPeriodico	2010		Por que refletir sobre o que significa educar para a compreensão do tempo?	Cadernos CEDES (Impresso)	MIRANDA, S. R.; OLIVEIRA, Sandra Regina Ferreira	Qualis nao identificado	Cadernos CEDES (Impresso)
artigoEmPeriodico	2010		Ajuste de um modelo de previsão de séries temporais para um processo de fabricação de cerâmicas	Revista Ingepro : Inovação, Gestão e Produção	MOREIRA JUNIOR, Fernando de Jesus ; SAMOHYL, R. W. ; SEIDEL, Enio Junior ; LOPES, Luis Felipe Dias	C	Revista Ingepro : Inovação"," Gestão e Produção
artigoEmPeriodico	2010		?Portanto, os senhores exigindo dos escravos mais do que podem, cometem um homicídio? ? Vida e morte de indivíduos cativos nos oitocentos através dos registros de óbito (Porto Alegre /RS)	Espaço Plural (Unioeste)	MOREIRA, P. R. S	Qualis nao identificado	Espaço Plural (Unioeste)
artigoEmPeriodico	2010		Por se ter queimado uma preta escrava, com o pretexto de bruxaria: fronteira, impunidade e crença dos senhores no poder mágico-religioso de seus cativos (Rincão de Artigas / 1856)	História em Revista (UFPel)	MOREIRA, P. R. S	Qualis nao identificado	História em Revista (UFPel)
artigoEmPeriodico	2010		Velho vento, velhos temas	Estudos Afro-Asiáticos (UCAM. Impresso)	MUZART, Z. L	Qualis nao identificado	Estudos Afro-Asiáticos (UCAM. Impresso)
artigoEmPeriodico	2010		Fazendas históricas paulistas dos séculos XVIII e XIX: premissas teóricas e metodológicas para inventariar bens patrimoniais	Resgate (UNICAMP)	NAKAGAWA, E. Y. ; COSTA, L. S. F. ; SCARPELINE, R.	Qualis nao identificado	Resgate (UNICAMP)
artigoEmPeriodico	2010		Política pública para gestão da informação: O caso da comunidade Santa Clara	Biblionline (João Pessoa)	NASCIMENTO JUNIOR, J. C. N. ; FREIRE, G. H. A.	Qualis nao identificado	Biblionline (João Pessoa)
artigoEmPeriodico	2010		Análise de correspondência aplicada a avaliação da propaganda farmacêutica junto à classe médica	S & G. Sistemas & gestão	NASCIMENTO, C. A. ; ZANELLA, A. ; SEIDEL, Enio Junior ; LOPES, Luis Felipe Dias	Qualis nao identificado	S & G. Sistemas & gestão
artigoEmPeriodico	2010		Brazil; 2008-2009	Anti-Semitism Worldwide	NAZARIO, Luiz	Qualis nao identificado	Anti-Semitism Worldwide
artigoEmPeriodico	2010		FORMAS, SUJEITOS E FORÇAS EDUCATIVAS: DESAFIOS PARA A HISTÓRIA E PARA A EDUCAÇÃO (DO IMPÉRIO E DA ATUALIDADE)	Cadernos de História da Educação (UFU. Impresso)	OLIVEIRA, A. C. ; GONCALVES NETO, Wenceslau	Qualis nao identificado	Cadernos de História da Educação (UFU. Impresso)
artigoEmPeriodico	2010		Co-assimetria e co-curtose na análise dos preços das ações no mercado financeiro nacional	Revista de Administração da UFSM	OLIVEIRA, A. S. ; LOPES, Luis Felipe Dias ; ABBADE, E. B.	Qualis nao identificado	Revista de Administração da UFSM
artigoEmPeriodico	2010		Indexação em coleções familiares: quais aspectos considerar?	Arquivo e Administração	OLIVEIRA, I	Qualis nao identificado	Arquivo e Administração
artigoEmPeriodico	2010		Memória da Casa de Cultura Otto Stahl: migração de suporte de documentos audiovisuais	Boletín de la Federación Española de Asociaciones de arqchiveros, bibliotecarios, arqueólogos museólogos y dovumentalistas	OLIVEIRA, L. D	Qualis nao identificado	Boletín de la Federación Española de Asociaciones de arqchiveros, bibliotecarios, arqueólogos museólogos y dovumentalistas
artigoEmPeriodico	2010		Entre as 4 linhas: estudo da gênese e do fluxo de informação para a manutenção do campo do estádio Beira Rio	Federación Española de Asociaciones de Archiveros, Bibliotecarios, Arqueólogos, Museólogos y Documentalistas	OLIVEIRA, L. D	Qualis nao identificado	Federación Española de Asociaciones de Archiveros, Bibliotecarios, Arqueólogos, Museólogos y Documentalistas
artigoEmPeriodico	2010		Porto Alegre e seus reflexos: a cidade imaginada e a cidade oficial	Em Questão (UFRGS. Impresso)	OLIVEIRA, L. D	C	
artigoEmPeriodico	2010		Centro de Informação e de Memória da Arqueologia do Rio grande do Sul	Mouseion (Unilasalle)	OLIVEIRA, L. D.; BRITO, L. O.	Qualis nao identificado	Mouseion (Unilasalle)
artigoEmPeriodico	2010		Communication: the historical and cultural indicators of Pina, Brazil	Interface (Maynooth)	OLIVEIRA, M. C. G.; MORAES, Odalisca	Qualis nao identificado	Interface (Maynooth)
artigoEmPeriodico	2010		Uma universidade modelo para o Brasil: a Educação Superior e o projeto de construção da nacionalidade brasileira (1935-1945)	Outros Tempos	ORRICO, E. G. D.; OLIVEIRA, AJB	Qualis nao identificado	Outros Tempos
artigoEmPeriodico	2010		Memória e discurso no entremeio das práticas informacionais contemporâneas	Liinc em Revista	ORRICO, Evelyn Goyannes Dill	C	
artigoEmPeriodico	2010		Moradas do íntimo	Humanidades (Brasília)	ORTHOF, G. ; DIAS, K. S.	Qualis nao identificado	Humanidades (Brasília)
artigoEmPeriodico	2010		Anotações e Reflexões acerca das conferências pedagógicas de Mlle Aimeé Colly	Revista Teias (UERJ. Online)	PACHECO, Dirceu Castilho	Qualis nao identificado	Revista Teias (UERJ. Online)
artigoEmPeriodico	2010		NOTES ET RÉFLEXIONS AUTOUR DES CONFÉRENCES PÉDAGOGIQUES DE MLLE AIMEÉ COLLY	Revista Teias (UERJ. Online)	PACHECO, Dirceu Castilho	Qualis nao identificado	Revista Teias (UERJ. Online)
artigoEmPeriodico	2010		Implicações sociais e epistemológicas da classificação institucional das áreas do conhecimento para a Ciência da Informação	Páginas a & b. Arquivos & Bibliotecas	PENA, A. S. ; RENAULT, L. V.	Qualis nao identificado	Páginas a & b. Arquivos & Bibliotecas
artigoEmPeriodico	2010		ACERVOS PRIVADOS:INDIVÍDUO, SOCIEDADE E HISTÓRIA	Saeculum (UFPB)	PENNA, R. ; GRAEBIN, Cleusa M. G.	Qualis nao identificado	Saeculum (UFPB)
artigoEmPeriodico	2010		Caracterização de crostas de origem biológica em sítios arqueológicos no Vale do Rio Peruaçu ? MG	Revista de História da Arte e Arqueologia (Online)	PINHEIRO, L. M. de M. ; YOSHIDA, M. I. ; Luiz Antonio Cruz Souza	Qualis nao identificado	Revista de História da Arte e Arqueologia (Online)
artigoEmPeriodico	2010		Indicadores Científicos no Estado de Mato Grosso (PARTE I): visibilidade na Web of Science	REVISTA BIODIVERSIDADE ON-LINE	PINTO, A. L	Qualis nao identificado	REVISTA BIODIVERSIDADE ON-LINE
artigoEmPeriodico	2010		Representación productiva de los programas de postgrado en Biblioteconomía y Ciencia de la Información en Brasil: visibilidad en las bases de datos y aspectos del Currículo Lattes de los investigadores	Em Questão (UFRGS. Impresso)	PINTO, A. L.; MOREIRO GONZALEZ, J. A.	C	
artigoEmPeriodico	2010		Ontologias baseadas na visualização da informação das redes sociais	Prisma.com	PINTO, A. L.; SILVA, A.M. ; SENA, P.M.B.	Qualis nao identificado	Prisma.com
artigoEmPeriodico	2010	http://dx.doi.org/10.5007/1518-2924.2010v15n29p52	O profissional bibliotecário como gestor de pessoas 10.5007/1518-2924.2010v15n29p52	Encontros Bibli	Pinto, Adilson Luiz ; Moreiro González, José Antonio ; PINTO, A. L.	C	
artigoEmPeriodico	2010	http://dx.doi.org/10.1590/s1413-99362010000200013	Visibilidade e monitoramento científico na área nuclear e ciências relacionadas: uma perspectiva a partir da produtividade do IPEN-CNEN/SP	Perspectivas em Ciência da Informação (Impresso)	PINTO, ADILSON LUIZ; IGAMI, MERY P. ZAMUDIO ; BRESSSIANI, JOSÉ CARLOS	C	
artigoEmPeriodico	2010		Gestores de uma empresa de concessão de serviço federal: percepções da gestão documental	Revista do Centro de Ciências Sociais e Humanas, Universidade Federal de Santa Maria	Portella, Viviane Portella de ; PEDRAZZI, Fernanda Kieling	Qualis nao identificado	Revista do Centro de Ciências Sociais e Humanas, Universidade Federal de Santa Maria
artigoEmPeriodico	2010		A biblioteca comunitária como agente de inclusão/ integração do cidadão na sociedade da informação	Inclusão Social (Online)	Prado, Geraldo M. ; PRADO, G. M.	Qualis nao identificado	Inclusão Social (Online)
artigoEmPeriodico	2010		Delineando las funciones del sector de archivo de álbumes de una indústria fotográfica	Ibersid (Zaragoza)	PUPIM, E. K. ; MADIO, T.C.C.	Qualis nao identificado	Ibersid (Zaragoza)
artigoEmPeriodico	2010		La Subjectivité dans la Information avec la Communication Visuelle du temps présent	Estudos em Comunicação/Communication Studies	Ramalho ; PRADO, G. M.	Qualis nao identificado	Estudos em Comunicação/Communication Studies
artigoEmPeriodico	2010		As fontes da escola e a pesquisa em História da Educação: contribuições do acervo do Colégio Estadual do Paraná para o campo das disciplinas escolares	Revista HISTEDBR On-line	RANZI, S. M. F. ; GONÇALVES, N. G.	C	
artigoEmPeriodico	2010		La observación de la estructura textual de los libros para la catalogación de matérias en las bibliotecas universitárias de la UNESP	Scire (Zaragoza)	REIS, D. M. ; FUJITA, M. S. L.	Qualis nao identificado	Scire (Zaragoza)
artigoEmPeriodico	2010		A filosofia da história pos-moderna: Elias, Foucault, Boudieu e Thompson	Saeculum (UFPB)	REIS, J. C	Qualis nao identificado	Saeculum (UFPB)
artigoEmPeriodico	2010		Instituição Escolar: possibilidades de estudo a partir da Escola Normal de Lisboa	Cadernos de História da Educação (UFU. Impresso)	RESENDE, Luciana A. V. ; GONCALVES NETO, Wenceslau	Qualis nao identificado	Cadernos de História da Educação (UFU. Impresso)
artigoEmPeriodico	2010		Repercussões do processo ensino-aprendizagem na qualidade de vida-saúde de acadêmicos: entre possibilidades e limitações.	REME. Revista Mineira de Enfermagem	RIBEIRO, Ivete Maria ; PATRICIO, Z. M. e KARNOPP PATRÍCIO, Z.M. ; REIS, Adriana Elias dos ; Santos, Eliane Mazzuco dos	Qualis nao identificado	REME. Revista Mineira de Enfermagem
artigoEmPeriodico	2010		Plano de classificação de documentos arquivísticos e a teoria da classificação: uma interlocução entre domínios do conhecimento	Perspectivas em Ciência da Informação (Impresso)	Rios, Elaine Rosa ; CORDEIRO, Rosa Inês Novais de	C	
artigoEmPeriodico	2010		Os recursos da arquivologia na gestão da informação orgânica	Fonte (Belo Horizonte)	RODRIGUES, Ana M. L	C	
artigoEmPeriodico	2010		Regionalismo, modernidade e legitimidades intelectuais: Moysés Vellinho e Érico Veríssimo (1930 a 1964)	História, Ciências, Saúde-Manguinhos (Impresso)	RODRIGUES, M. C. M	Qualis nao identificado	História, Ciências, Saúde-Manguinhos (Impresso)
artigoEmPeriodico	2010		A PERCEPÇÃO DA TRANSMISSÃO DO CONHECIMENTO NAS REDES SOCIAIS INFORMAIS (RSI) DE ATENDIMENTO AO CLIENTE: ESTUDO EM UMA EMPRESA PÚBLICA DE TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO	Congresso Nacional de Excelência em Gestão	RODRIGUEZ, MARTIUS; ANDRE LUIS AZEVEDO GUEDES ; MANUEL FRANKLIN DE SÁ	C	
artigoEmPeriodico	2010		VALORES PESSOAIS E ORGANIZACIONAIS: UM ESTUDO DE CASO	Revista Design, Inovação e Gestão Estratégica - REDIGE	RODRIGUEZ, MARTIUS; BEATRIZ RESENDE HALLAK	Qualis nao identificado	Revista Design, Inovação e Gestão Estratégica - REDIGE
artigoEmPeriodico	2010		ALINHAMENTO DOS VALORES PESSOAIS E ORGANIZACIONAIS: UM ESTUDO DE CASO	Congresso Nacional de Excelência em Gestão	RODRIGUEZ, MARTIUS; BEATRIZ RESENDE HALLAK	C	
artigoEmPeriodico	2010		ALINHAMENTO DE VALORES PESSOAIS E ORGANIZACIONAIS: UM ESTUDO DE CASO	Revista Design, Inovação e Gestão Estratégica - REDIGE	RODRIGUEZ, MARTIUS; BEATRIZ RESENDE HALLAK	Qualis nao identificado	Revista Design, Inovação e Gestão Estratégica - REDIGE
artigoEmPeriodico	2010		AVALIAÇÃO DA PRONTIDÃO ESTRATÉGICA DO CAPITAL HUMANO ATRAVÉS DE UM MODELO DE PRIORIZAÇÃO ESTRATÉGICA DE GESTÃO DE COMPETÊNCIA: UMA REVISÃO BIBLIOGRÁFICA	Direccion y Organizacion	RODRIGUEZ, MARTIUS; EMERSON ANDRADE PACHECO	Qualis nao identificado	Direccion y Organizacion
artigoEmPeriodico	2010		A CRIAÇÃO DO CONHECIMENTO NAS REDES SOCIAIS	Congresso Nacional de Excelência em Gestão	RODRIGUEZ, MARTIUS; TATIANA BARBOSA DE AZEVEDO	C	
artigoEmPeriodico	2010		SOFTWARES PARA ANÁLISE DE REDES SOCIAIS - ARS	Congresso Nacional de Excelência em Gestão	RODRIGUEZ, MARTIUS; TATIANA BARBOSA DE AZEVEDO	C	
artigoEmPeriodico	2010	http://dx.doi.org/10.5329/RESI.2010.0902007	PROPOSITION OF A DYNAMIC MODEL FOR MANAGING SECURITY INFORMATION ON INDUSTRIAL ENVIRONMENTS	RESI : Revista Eletrônica de Sistemas de Informação	ROQUE, A. dos S. ; NUNES, R. C.	B4	
artigoEmPeriodico	2010		Política de indexação na catalogação de assunto em bibliotecas universitárias: a visão sociocognitiva da atuação profissional com protocolo verbal	Revista Digital de Biblioteconomia e Ciência da Informação	RUBI, Milena Polsineli ; FUJITA, M. S. L.	Qualis nao identificado	Revista Digital de Biblioteconomia e Ciência da Informação
artigoEmPeriodico	2010		O Governo Eletrônico na Gestão do Judiciário	Revista da ESMESC	Ruschel A J ; ROVER, Aires José	Qualis nao identificado	Revista da ESMESC
artigoEmPeriodico	2010		Los principios teóricos de Cutter, Kaiser y Raganathan como elementos de interlocución en organización del conocimiento.	Scire (Zaragoza)	SALES, Rodrigo de ; GUIMARÃES, J.A.C.	Qualis nao identificado	Scire (Zaragoza)
artigoEmPeriodico	2010		Réseaux de la création	GENESIS (PARIS. 1992)	SALLES, C. A	Qualis nao identificado	GENESIS (PARIS. 1992)
artigoEmPeriodico	2010		Linguagens do habitar: residências Farroupilhas sob o olhar da mídia televisiva a partir de documentos históricos	Mouseion (Unilasalle)	SANTINI, V. H. ; OLIVEIRA, L. D.	Qualis nao identificado	Mouseion (Unilasalle)
artigoEmPeriodico	2010		Estudo do tratamento técnico das obras raras da Biblioteca Central da UFMT: uma proposta de manualização para critérios de raridade bibliográfica.	Biblionline (João Pessoa)	SANTOS, A. S. ; ALBUQUERQUE, A. C.	Qualis nao identificado	Biblionline (João Pessoa)
artigoEmPeriodico	2010		Proyecto Memória Votorantin (PMV): un centro de documentación en línea.	Ibersid (Zaragoza)	SANTOS, D A ; MADIO, T.C.C.	Qualis nao identificado	Ibersid (Zaragoza)
artigoEmPeriodico	2010		Projeto Memória Votorantim ? Um Centro De Documentação On Line	Ibersid (Zaragoza)	SANTOS, D. A.; SANTOS, D. A. ; MADIO, T. C. C.	Qualis nao identificado	Ibersid (Zaragoza)
